ProductID,ProductName,Category,Brand,UnitPrice,InStock,Description,SupplierID,DateAdded
72,Office Chair,Furniture,ABC Furniture,120,450,A ergonomic office chair for comfortable seating.,6,2024-03-12
73,Office Desk,Furniture,ABC Furniture,200,350,A modern office desk for productivity.,6,2024-03-13
74,Coffee Table,Furniture,ABC Furniture,90,700,A stylish coffee table for living room decor.,6,2024-03-14
75,Sofa,Furniture,ABC Furniture,300,300,A comfortable sofa for lounging and relaxing.,6,2024-03-15
76,Dining Table,Furniture,ABC Furniture,250,250,A sturdy dining table for family meals.,6,2024-03-16
77,Dining Chair,Furniture,ABC Furniture,80,550,A set of dining chairs for comfortable seating.,6,2024-03-17
78,Bed,Furniture,ABC Furniture,400,200,A cozy bed for a good night's sleep.,6,2024-03-18
79,Nightstand,Furniture,ABC Furniture,50,600,A compact nightstand for bedside storage.,6,2024-03-19
80,Dresser,Furniture,ABC Furniture,200,350,A spacious dresser for organizing clothes.,6,2024-03-20
81,Desk Lamp,Furniture,ABC Furniture,30,500,A stylish desk lamp for illuminating your workspace.,6,2024-03-21
82,Table Lamp,Furniture,ABC Furniture,25,600,A decorative table lamp for ambient lighting.,6,2024-03-22
83,Floor Lamp,Furniture,ABC Furniture,50,400,A tall floor lamp for brightening up any room.,6,2024-03-23
84,Wall Clock,Furniture,ABC Furniture,20,700,A classic wall clock for keeping time.,6,2024-03-24
85,Mirror,Furniture,ABC Furniture,40,450,A sleek mirror for grooming and decor.,6,2024-03-25
86,Shoe Rack,Furniture,ABC Furniture,30,550,A compact shoe rack for organizing footwear.,6,2024-03-26
87,Coat Rack,Furniture,ABC Furniture,25,500,A coat rack for hanging coats and hats.,6,2024-03-27
88,TV Stand,Furniture,ABC Furniture,100,300,A TV stand for holding television and media devices.,6,2024-03-28
89,Bookcase,Furniture,ABC Furniture,80,350,A tall bookcase for storing books and decor.,6,2024-03-29
90,Plant Stand,Furniture,ABC Furniture,40,400,A plant stand for displaying indoor plants.,6,2024-03-30
91,Dining Set,Furniture,ABC Furniture,300,150,A complete dining set with table and chairs.,6,2024-03-31
92,Console Table,Furniture,ABC Furniture,150,200,A narrow console table for hallway or entryway.,6,2024-04-01
93,Bathroom Cabinet,Furniture,ABC Furniture,100,250,A bathroom cabinet for storing toiletries.,6,2024-04-02
94,Shelving Unit,Furniture,ABC Furniture,80,300,A versatile shelving unit for storage and display.,6,2024-04-03
95,Kitchen Cart,Furniture,ABC Furniture,70,350,A mobile kitchen cart for extra storage and workspace.,6,2024-04-04
96,Bar Stool,Furniture,ABC Furniture,50,400,A bar stool for seating at kitchen counters or bars.,6,2024-04-05
97,Outdoor Table,Furniture,ABC Furniture,200,100,A sturdy outdoor table for patio or garden.,6,2024-04-06
98,Outdoor Chair,Furniture,ABC Furniture,80,200,A comfortable outdoor chair for relaxing outside.,6,2024-04-07
99,Garden Bench,Furniture,ABC Furniture,150,150,A charming garden bench for outdoor seating.,6,2024-04-08
100,Outdoor Umbrella,Furniture,ABC Furniture,50,300,A large outdoor umbrella for shade on sunny days.,6,2024-04-09
